                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.81231,                 1.8719,                 1.0556,                0.48022,                0.67598,                0.47158,                0.40588,                0.44785,                 1.3054,                0.85217,              0.0099545,              0.0099545,              0.0099545
                     49,                0.79738,                 1.8277,                 1.0459,                0.43431,                0.58797,                0.46848,                0.40582,                0.50624,                 1.1904,                0.86249,              0.0099535,              0.0099535,              0.0099535
                     50,                0.76043,                 1.7853,                 1.0302,                0.75445,                0.46412,                0.57131,                0.48998,                0.51168,                 1.3557,                0.87144,              0.0099525,              0.0099525,              0.0099525
                     51,                0.78928,                 1.7068,                 1.0229,                 0.5067,                0.62894,                0.51469,                0.43254,                0.53513,                 1.1942,                0.87536,              0.0099515,              0.0099515,              0.0099515
                     52,                0.86379,                 1.8085,                 1.0791,                0.49186,                0.55667,                0.49088,                0.40718,                0.46535,                 1.2934,                0.86212,              0.0099505,              0.0099505,              0.0099505
                     53,                0.78462,                 1.7332,                 1.0613,                0.50081,                0.60555,                 0.5189,                0.44137,                0.52805,                 1.2264,                0.87416,              0.0099495,              0.0099495,              0.0099495
                     54,                0.82695,                 1.7316,                 1.0758,                0.66846,                0.56365,                0.47971,                0.42056,                0.45975,                 1.2565,                0.85788,              0.0099485,              0.0099485,              0.0099485
                     55,                0.79528,                 1.7066,                 1.0499,                0.61347,                0.55608,                0.53636,                0.45583,                 0.4959,                 1.1866,                0.86716,              0.0099475,              0.0099475,              0.0099475
                     56,                0.77416,                 1.6819,                 1.0404,                0.66717,                0.61371,                0.56995,                0.48672,                0.46324,                 1.1494,                0.85841,              0.0099465,              0.0099465,              0.0099465
                     57,                0.76269,                 1.6249,                 1.0417,                0.62484,                0.53196,                0.49145,                0.41191,                0.52707,                 1.1879,                0.87355,              0.0099456,              0.0099456,              0.0099456
                     58,                0.80337,                  1.652,                 1.0482,                0.55385,                0.62722,                0.53516,                0.46665,                0.43083,                 1.1835,                0.85376,              0.0099446,              0.0099446,              0.0099446
                     59,                0.78323,                 1.6456,                 1.0453,                0.66092,                0.58452,                0.53412,                0.44992,                0.46274,                 1.1002,                0.86029,              0.0099436,              0.0099436,              0.0099436
                     60,                0.77581,                 1.6235,                 1.0528,                0.48144,                0.55592,                0.52124,                0.46412,                0.44847,                 1.4417,                0.86312,              0.0099426,              0.0099426,              0.0099426
                     61,                0.74202,                 1.5555,                 1.0144,                0.65954,                0.48528,                0.53086,                0.46655,                 0.4627,                 1.1294,                0.86017,              0.0099416,              0.0099416,              0.0099416
                     62,                0.77798,                  1.691,                 1.0438,                 0.5657,                0.58343,                0.52328,                0.46481,                 0.4386,                 1.1009,                0.85809,              0.0099406,              0.0099406,              0.0099406
                     63,                0.78245,                 1.6322,                 1.0542,                0.67501,                0.56824,                0.57134,                0.49024,                0.46634,                 1.1679,                0.85711,              0.0099396,              0.0099396,              0.0099396
                     64,                0.75238,                 1.4527,                 1.0314,                0.61199,                0.57512,                0.55912,                0.47716,                0.50038,                 1.2652,                0.86563,              0.0099386,              0.0099386,              0.0099386
                     65,                 0.7729,                 1.5227,                 1.0464,                0.57955,                 0.6591,                0.63203,                0.57055,                0.48071,                 1.2731,                0.86122,              0.0099376,              0.0099376,              0.0099376
                     66,                0.78349,                 1.5723,                 1.0393,                0.63779,                0.50266,                0.57897,                0.48899,                0.51155,                 1.1383,                0.87181,              0.0099366,              0.0099366,              0.0099366
                     67,                 0.7977,                 1.5709,                 1.0566,                0.51708,                0.72171,                0.61584,                0.54333,                0.44433,                 1.0752,                0.85693,              0.0099357,              0.0099357,              0.0099357
                     68,                0.77294,                 1.5782,                 1.0314,                 0.6486,                0.61073,                0.65266,                0.57871,                0.47167,                 1.1101,                0.86074,              0.0099347,              0.0099347,              0.0099347
                     69,                0.74619,                  1.473,                0.99595,                0.64652,                0.66033,                0.55227,                0.46196,                0.51716,                  1.477,                0.87317,              0.0099337,              0.0099337,              0.0099337
                     70,                0.76678,                 1.5261,                 1.0407,                0.64741,                0.64547,                0.57762,                0.48974,                0.51761,                 1.1309,                0.87166,              0.0099327,              0.0099327,              0.0099327
                     71,                0.78265,                 1.5961,                 1.0597,                0.61511,                0.61498,                0.67004,                0.59507,                0.42255,                 1.0673,                0.85173,              0.0099317,              0.0099317,              0.0099317
                     72,                0.74326,                 1.5486,                 1.0395,                0.66715,                0.53514,                0.62749,                 0.5348,                0.47651,                 1.0684,                0.86471,              0.0099307,              0.0099307,              0.0099307
                     73,                0.76119,                 1.4546,                 1.0146,                0.55837,                0.72063,                0.67252,                0.58706,                0.47307,                 1.0503,                0.86511,              0.0099297,              0.0099297,              0.0099297
                     74,                0.75185,                 1.4143,                 1.0419,                0.59093,                0.65322,                0.66615,                0.58118,                0.45963,                 1.0707,                0.86213,              0.0099287,              0.0099287,              0.0099287
                     75,                0.71669,                  1.437,                 1.0276,                0.54376,                 0.6142,                0.59781,                0.53084,                0.45682,                 1.1303,                0.85474,              0.0099277,              0.0099277,              0.0099277
                     76,                0.75938,                 1.4709,                 1.0484,                0.47702,                0.66275,                0.59251,                0.52014,                0.45596,                 1.2557,                0.87052,              0.0099267,              0.0099267,              0.0099267
                     77,                 0.6965,                 1.4555,                  1.009,                0.52702,                0.69818,                0.59717,                0.52845,                0.43914,                 1.1937,                0.85839,              0.0099258,              0.0099258,              0.0099258
                     78,                0.73538,                  1.517,                 1.0093,                0.68554,                0.54841,                0.60399,                0.52088,                 0.4803,                 1.1968,                 0.8663,              0.0099248,              0.0099248,              0.0099248
                     79,                0.74593,                 1.4894,                 1.0288,                0.65794,                 0.5766,                0.64138,                0.54853,                 0.4577,                 1.1841,                0.85966,              0.0099238,              0.0099238,              0.0099238
                     80,                0.74242,                 1.4112,                 1.0536,                0.67831,                0.53318,                0.67493,                0.59505,                0.45861,                 1.0854,                0.86135,              0.0099228,              0.0099228,              0.0099228
                     81,                0.71593,                 1.4158,                0.99346,                0.62399,                0.55649,                0.69935,                0.61184,                 0.4519,                 1.1573,                0.85705,              0.0099218,              0.0099218,              0.0099218
                     82,                0.73186,                 1.3161,                 1.0112,                0.52801,                0.76997,                0.66543,                0.57946,                0.47139,                 1.0746,                0.85946,              0.0099208,              0.0099208,              0.0099208
                     83,                0.76191,                 1.3805,                 1.0326,                0.46845,                 0.8038,                0.59558,                0.52579,                0.51305,                  1.195,                0.86736,              0.0099198,              0.0099198,              0.0099198
                     84,                0.73304,                  1.458,                 1.0426,                0.52207,                0.71746,                0.66561,                0.60241,                0.43713,                 1.1561,                0.84593,              0.0099188,              0.0099188,              0.0099188
                     85,                0.74231,                 1.4419,                 1.0191,                0.68796,                0.50121,                0.61237,                0.54882,                0.42088,                 1.1331,                0.84491,              0.0099178,              0.0099178,              0.0099178
